species	distance	area_cm_2	csf
gem	47	787.6478241	4.986364685
gem	23.5	598.9991955	4.984782753
gem	15.4	343.6668176	4.969694144
gem	39.1	1530.461434	4.957954203
gem	18.4	313.3300767	4.922725993
gem	14.9	1791.523071	4.885967604
gem	39.1	113.5414532	4.874792175
gem	14	355.1821738	4.822419225
gem	9.4	354.2494316	4.814322711
gem	38.5	450.053309	4.783060506
gem	37.9	26.26827464	4.760408304
gem	74.4	178.7852072	4.748891995
gem	56.8	118.481887	4.7403956
gem	52.1	639.5654913	4.71920256
gem	36	1389.515884	4.692306846
gem	57.1	404.4559805	4.670987317
gem	8.6	89.38049415	4.669523544
gem	36.6	498.4580191	4.658083821
gem	63	114.5679048	4.601758671
gem	29.4	304.2557688	4.594337012
gem	73.1	105.0987717	4.432540405
gem	36.2	529.62221	4.426740217
gem	69.3	105.4792227	4.325250539
gem	50	451.7397369	4.305783009
gem	13.5	322.3968535	4.296597245
gem	27.8	273.2159314	4.28912299
gem	1.2	238.7962768	4.270330177
gem	36.1	102.244187	4.242452055
gem	37.7	33.16819922	4.239010882
gem	23.3	27.80184478	4.227224752
gem	65	180.5901199	4.2219135
gem	4.8	228.2370082	4.177733612
gem	8.8	321.6336926	4.177696573
gem	46.8	101.5183358	4.094241888
gem	55.6	126.7639229	4.070266626
gem	46.7	179.3007318	4.041641335
gem	67.7	34.46909338	4.000630282
gem	77.7	281.2978076	3.980103778
gem	13.3	193.5547489	3.944162859
gem	18.5	387.483392	3.928949014
gem	48.5	481.3015841	3.918818296
gem	39.9	753.9697348	3.905936946
gem	51.4	202.7450236	3.892341207
gem	4.4	753.5577574	3.844532296
gem	47.1	162.8309371	3.787681209
gem	74	89.935697	3.756502591
gem	45.8	148.948251	3.753657342
gem	35.7	73.30995207	3.729554258
gem	67.9	56.73186707	3.723165087
gem	58.2	581.5982744	3.71331893
gem	2.7	680.0508852	3.676976991
gem	46.8	587.5762445	3.65680764
gem	1.6	57.37930143	3.616147536
gem	11.2	281.3769545	3.600506406
gem	50	1484.968932	3.596732544
gem	63.1	225.349794	3.59452155
gem	8.1	541.5900151	3.584611155
gem	48	1612.136622	3.573547249
gem	3.8	38.71864165	3.530193889
gem	2.5	502.0220364	3.527161206
gem	38.4	121.0908778	3.520427408
gem	3.5	2121.319817	3.519988999
gem	53.2	81.24655514	3.51856154
gem	27.7	90.03661773	3.482137058
gem	54.8	527.2762486	3.467355463
gem	65.6	75.22914289	3.462731321
gem	50	822.880779	3.431878325
gem	52.5	62.253872	3.431526083
gem	11	75.09241947	3.419010422
gem	59.7	239.1954847	3.41037687
gem	24.1	297.1180518	3.383048264
gem	40	431.2149987	3.359494392
gem	10.2	53.20408695	3.338324326
gem	73	1082.999849	3.333300052
gem	52.9	81.46145792	3.328165053
gem	19.4	176.9955551	3.287249
gem	8.5	757.6693462	3.277435697
gem	8	11.94738521	3.271541684
gem	60.1	707.0692174	3.247242973
gem	6.5	393.0035432	3.243933612
gem	12.3	432.8461539	3.206218485
gem	63.9	103.4276548	3.172867579
gem	44	1018.646673	3.163584792
gem	35.7	916.1420819	3.116605353
gem	47.8	34.2307912	3.098952619
gem	65.8	144.1887697	3.098848448
gem	26	254.096237	3.091068242
gem	4.9	535.4165314	3.060735398
gem	15.9	104.7917345	3.026666141
gem	34.6	644.4557603	3.012607434
gem	2.8	318.9142897	2.997400284
gem	79.7	519.1991573	2.983735192
gem	5.4	2355.833645	2.965565961
gem	0	267.6712235	2.953975532
gem	30.6	27.14422297	2.950369125
gem	35	747.1390196	2.913143243
gem	16.4	45.24323062	2.9112942
gem	12.1	919.3010524	2.902623164
gem	7.6	328.8358566	2.894420716
gem	72.5	32.50647771	2.868179702
gem	42.4	58.82549944	2.841659556
gem	78.3	75.88003478	2.820881555
gem	34.3	316.3065302	2.790518463
gem	11.6	67.31065428	2.763376551
gem	65.4	459.535189	2.725204349
gem	25.9	305.4229727	2.673701718
gem	16.2	2017.258695	2.662041481
gem	2	288.5811615	2.637896137
gem	6.5	978.789728	2.60875204
gem	3.4	1537.689785	2.608632412
gem	55.2	219.8630196	2.601597123
gem	9.1	60.77921415	2.599691076
gem	66.8	66.11533949	2.598826347
gem	9	105.1975343	2.580044981
gem	1.2	1498.863024	2.563104292
gem	64	57.1325825	2.558389026
gem	8.5	455.7251728	2.536166147
gem	13.7	27.81662008	2.532346032
gem	6.5	552.5966656	2.52628532
gem	46.5	88.085873	2.525801286
gem	0.8	26.17902533	2.513109046
gem	24.6	43.39898289	2.5076013
gem	53	546.2259446	2.507295133
gem	53	101.5615696	2.49602473
gem	0	610.7488643	2.486889753
gem	28.3	40.44314717	2.479819145
gem	14	614.3008039	2.4470652
gem	13.2	326.2255989	2.441112606
gem	71.2	569.161747	2.437591376
gem	0.4	259.4215538	2.41852931
gem	7.5	199.6817154	2.398325404
gem	7.8	345.7130625	2.379717706
gem	54.8	177.7238338	2.376413759
gem	44.3	61.71603853	2.345779992
gem	68.1	48.91001462	2.333494599
gem	60.8	513.0124147	2.327486808
gem	7.7	1208.34753	2.320676135
gem	35	993.9790338	2.311955901
gem	13.9	393.3159715	2.243628945
gem	27	153.4964835	2.239256035
gem	8.7	46.10459889	2.211766644
gem	1.2	2442.821633	2.196960074
gem	0.8	56.65257572	2.179569675
gem	35.6	457.5819988	2.170569871
gem	15.8	1661.198121	2.150093529
gem	70.7	91.23692006	2.09998605
gem	25.8	257.3145064	2.087007216
gem	3.8	1669.158222	2.075969437
gem	56.2	506.2422782	2.075374078
gem	24.7	1356.636882	2.047280903
gem	64.8	109.0928621	2.018150928
gem	10.4	2866.026943	1.987200754
gem	14.9	35.32033823	1.986002872
gem	51.1	282.2243304	1.981801908
gem	14.7	825.7406415	1.954271992
gem	2	239.5679551	1.889909537
gem	0	318.7478096	1.86063604
gem	66	131.5593708	1.854070911
gem	48.2	465.472521	1.849703019
gem	8	585.8504969	1.845847313
gem	78.7	116.1742345	1.834875141
gem	3.4	16.21392602	1.834757416
gem	17.3	1461.073739	1.82648906
gem	4.7	303.8609646	1.814709441
gem	50	191.7995201	1.81438422
gem	5.2	375.0769854	1.814034311
gem	28	1144.368962	1.785474116
gem	77.7	29.34235632	1.780157037
gem	46.9	35.64961306	1.776898003
gem	17.6	36.43708738	1.770951283
gem	77.5	160.7865322	1.768012671
gem	3.4	854.2102583	1.763713426
gem	71.4	1753.641254	1.757418403
gem	62	85.79714746	1.753483173
gem	37.8	398.8873845	1.741212309
gem	15.3	74.56055857	1.736164505
gem	30.3	53.03747109	1.731872191
gem	58.9	219.6157411	1.71036826
gem	50	129.4229047	1.70816071
gem	8.6	68.78643883	1.703474325
gem	31.2	320.6542273	1.689833973
gem	41	554.265918	1.676176934
gem	64.2	817.0117766	1.674957369
gem	56	98.89018061	1.67137019
gem	7.2	26.83358762	1.60673741
gem	46.7	686.8567803	1.604295158
gem	11.7	693.7632744	1.603005124
gem	19.3	65.66701095	1.600124054
gem	45.2	58.10928279	1.57410557
gem	25	1645.597843	1.558049873
gem	3.9	443.9013434	1.537147725
gem	69.8	26.57063257	1.535195326
gem	1.3	69.19903659	1.516028187
gem	65.9	40.03136677	1.513821879
gem	3.5	711.5334434	1.508147248
gem	51.3	127.2601572	1.506205353
gem	1.8	690.3833706	1.44867208
gem	2.5	67.73925667	1.429441494
gem	50	240.1441399	1.429063081
gem	9.7	102.9243582	1.426401565
gem	5.2	308.0528997	1.425207
gem	11.3	108.8372661	1.419758689
gem	17.8	61.66784638	1.41376092
gem	0.6	54.60678602	1.41284041
gem	19.4	186.9911656	1.404018235
gem	74.2	31.76474166	1.400294808
gem	30.5	271.917358	1.395386302
gem	29.9	114.7252545	1.377306489
gem	34.1	52.58772651	1.350922667
gem	26.6	1529.202619	1.345494498
gem	18.8	681.0209146	1.342932847
gem	19.4	23.49405122	1.325624011
gem	10.7	77.44938019	1.31781298
gem	13.2	12.20401997	1.282663022
gem	12	699.713457	1.266403464
gem	30.6	247.349015	1.247882233
gem	2.4	49.11084987	1.243692424
gem	43.3	30.29386639	1.235823288
gem	22.5	206.1429113	1.230151691
gem	17	2265.020559	1.226727995
gem	48.8	52.74522121	1.223530593
gem	43.3	55.3672099	1.220570104
gem	47	19.05462213	1.220202899
gem	0	36.2747542	1.199068184
gem	10.5	102.3205385	1.194538561
gem	2.1	484.0033273	1.193146948
gem	9.1	126.3069748	1.191307489
gem	4.1	49.27437359	1.174287394
gem	6	43.74569104	1.172229296
gem	58	194.6017502	1.153282151
gem	10.3	21.78532243	1.140975392
gem	48.1	19.33701708	1.130941997
gem	43.7	61.14325974	1.126359557
gem	3.9	54.68272436	1.09023412
gem	41	179.0804394	1.073781671
gem	67.7	361.5233608	1.070472255
gem	46.9	93.74241001	1.062532473
gem	78	68.45519434	1.059350314
gem	67.2	134.3956494	1.047228594
gem	39.2	17.3443532	1.037654679
gem	19.9	143.7670241	1.033314901
gem	72.8	74.72733901	1.021062504
gem	0.4	178.3859584	1.020138416
gem	58.9	180.2415052	1.009607332
gem	4.1	1593.298932	0.998812649
gem	5.1	917.2499852	0.991775831
gem	5.6	201.9143227	0.990195496
gem	10	11.91102239	0.966373294
gem	50	39.37350537	0.927514005
gem	33.4	66.04051275	0.917718878
gem	53.4	57.45114533	0.910783797
gem	19.8	266.7172161	0.910457428
gem	5.8	312.4663446	0.888543274
gem	29.1	1765.882307	0.886229835
gem	42	211.6743632	0.869839316
gem	37.9	87.89789106	0.810828744
gem	34.9	24.4185715	0.801540319
gem	55.8	27.50671115	0.789355384
gem	39.4	81.79538682	0.770220165
gem	4.9	1272.763926	0.76351148
gem	79.6	90.27853277	0.757281798
gem	32.2	87.30880418	0.748558479
gem	65.2	17.42151987	0.738516659
gem	74.5	423.5779979	0.730561814
gem	55.1	153.3752253	0.720719374
gem	13.2	189.5377194	0.696319176
gem	15.9	34.1524413	0.684108677
gem	80	35.39793007	0.677876892
gem	3.4	135.6099319	0.677312622
gem	58.1	187.6866804	0.649302546
gem	34.4	50.45571389	0.647313498
gem	7.4	45.79929698	0.637895305
gem	0	815.5623289	0.61746807
gem	9.6	1195.292167	0.616535436
gem	54.3	55.79577492	0.574768571
gem	50	301.6843384	0.569803951
gem	72	1415.246102	0.557708399
gem	54.4	91.55111499	0.515447939
gem	7.9	30.40884676	0.478755715
gem	14.2	18.96413456	0.463746969
gem	36.2	49.56249922	0.44555468
gem	14.6	564.6398928	0.429016231
gem	54.2	58.85815514	0.420076384
gem	7.2	59.08314944	0.41052799
gem	68.1	626.5567338	0.379490827
gem	69.3	15.16314625	0.365269714
gem	50	41.5493144	0.362713881
gem	32.9	64.1080619	0.344884072
gem	50.9	172.4678863	0.334275912
gem	18.3	40.31202582	0.331956271
gem	5.9	86.67471981	0.317353763
gem	14.7	32.97398789	0.279354377
gem	30.4	79.07315759	0.248408854
gem	20.2	422.8572575	0.166157794
hya	30.7	8679.085549	310.5866507
hya	26.2	5205.38102	159.4113906
hya	34	3366.318828	153.3021696
hya	32.7	1400.022407	143.4728382
hya	28.9	3180.63068	141.0720592
hya	20.2	7453.16634	135.3941886
hya	48.9	1307.003415	129.046821
hya	39.4	3275.502156	125.9201823
hya	27	3084.8962	119.4624377
hya	27.7	6564.928214	119.3633865
hya	22.6	13976.26103	116.8459248
hya	40.3	1822.387378	113.9780117
hya	30	4441.225273	110.4174089
hya	64.9	1448.515216	108.6232433
hya	15.1	2748.97122	101.548545
hya	40.9	13052.79783	97.25258179
hya	27.4	2939.663352	95.26370875
hya	22.4	1868.93781	93.9412519
hya	24.5	5149.303729	93.365059
hya	48.4	1488.068214	89.46332863
hya	10.5	783.9308965	89.26898594
hya	37.8	1471.957614	87.57948645
hya	33.6	783.5058481	84.31280622
hya	56.3	4470.375063	81.63606769
hya	24.4	345.579737	79.30418272
hya	40.3	1609.773031	76.28708609
hya	2.8	761.9622874	75.11848898
hya	71.1	1067.414474	73.52105363
hya	22.4	14099.15704	70.28615161
hya	8.5	1959.49111	70.06866697
hya	37	4409.542717	69.54966902
hya	38	3321.130781	67.81703431
hya	40.2	1054.457497	67.14492811
hya	33.4	8810.749912	65.35155424
hya	26.8	4180.250733	61.4339723
hya	58.1	1986.909559	61.36737934
hya	21.5	4669.499219	61.29917663
hya	31	3454.484346	59.61326222
hya	17.1	1120.09283	58.82980817
hya	14.5	3068.785392	58.71773964
hya	15.9	4075.726554	58.175714
hya	8.8	1909.230946	56.99231732
hya	27.3	3038.125082	55.13920537
hya	2	3927.109231	53.4127676
hya	49.4	1451.109714	53.30339427
hya	34.7	524.6930669	52.98467444
hya	16.9	4293.132437	52.9508789
hya	30	10600.05248	52.6804178
hya	35.5	1145.595021	52.65005682
hya	28	2594.605325	51.56236885
hya	23.1	799.5348693	51.47281983
hya	48	3256.66058	51.46062307
hya	10.2	1631.071099	50.12056023
hya	70.1	1766.174431	49.48764618
hya	17.6	1095.363734	49.32982844
hya	29.7	9885.032216	49.23554718
hya	10.1	16447.33217	48.86694703
hya	32.7	836.5039913	48.28500309
hya	19.3	2468.482334	48.1645509
hya	29.2	1440.158496	47.16752542
hya	31.3	1998.339506	47.11825234
hya	26.7	694.4564618	46.6400873
hya	13.9	425.198846	46.53805515
hya	41.2	3637.980552	45.33053058
hya	43	3920.477039	45.30537244
hya	21.8	2651.081618	45.22529388
hya	6.4	297.9313539	44.60819546
hya	26.7	2152.280123	44.59229354
hya	2.9	598.2782859	43.989034
hya	24.6	449.8812275	43.71271254
hya	18.1	1765.845507	42.99388626
hya	25.4	1443.738343	42.47782987
hya	19.1	1123.374004	42.45836027
hya	39.2	669.5436103	41.94536
hya	13.2	1765.655882	41.34237753
hya	45.2	188.4781094	40.7342182
hya	16.8	4461.674642	40.32919495
hya	38.4	11462.1898	39.53549054
hya	23.3	1891.562521	39.09585732
hya	34.5	3831.482968	39.01921607
hya	8.9	1122.760155	38.58837765
hya	8	866.5247497	38.41373105
hya	78	753.6994638	36.62698467
hya	74.1	1045.207746	35.54016526
hya	32.5	2920.248257	35.28135461
hya	26.5	1726.689306	35.00673434
hya	17.9	911.6861937	34.39082703
hya	14.1	462.0243219	33.36391267
hya	31.8	7726.890682	33.13604549
hya	15.2	2864.611072	33.12262765
hya	13	1667.763783	32.36848634
hya	40.9	4401.735035	32.11698745
hya	21.7	3698.390309	31.78121958
hya	6.5	3128.805613	31.58811891
hya	12.8	3124.827493	31.51343526
hya	34.1	878.8866143	30.95793761
hya	29.1	4197.338365	30.52772173
hya	0	487.300564	30.34936064
hya	40	9337.096388	30.11676666
hya	0.1	2887.578988	30.10204602
hya	31.3	1547.423311	29.95586685
hya	40.5	3681.538577	29.69675178
hya	30	458.2963029	29.12328174
hya	35.3	21373.0494	28.79692398
hya	12.1	2166.559763	28.75146252
hya	74.4	2707.296297	28.73017094
hya	47.2	5136.133008	28.17978463
hya	45.5	3503.590849	28.07648711
hya	78.8	899.0771024	27.96079738
hya	3.8	1117.007373	27.92649216
hya	22.3	296.6973684	27.65803118
hya	14.7	3044.91641	27.4115464
hya	0	1042.650905	27.39736271
hya	13.6	1925.763699	26.90541922
hya	35.6	3691.648397	26.13816438
hya	26	980.7383387	25.83619543
hya	42.8	3750.003099	25.82382836
hya	6.3	2357.993806	25.69493652
hya	51.2	254.5912241	25.35852364
hya	22.9	3078.002253	25.33706656
hya	23.9	2532.456775	25.20687879
hya	36.7	1139.822587	25.15334997
hya	22.3	8485.021894	24.85209913
hya	15.7	752.0753721	24.49587361
hya	20.7	4307.384363	24.48477167
hya	16.7	844.0974357	24.47110091
hya	37	573.7495435	24.37260404
hya	29.6	2443.89004	24.29120744
hya	38.7	851.4749094	23.9409212
hya	29.4	323.3891854	23.26742069
hya	12.8	2980.652407	23.07161986
hya	2.9	140.3213632	22.8569102
hya	14.7	8351.406697	22.83766492
hya	19	1100.034571	22.52931232
hya	37.8	944.727975	22.211467
hya	43	1938.102299	22.12515915
hya	50	424.4057343	21.86236839
hya	59.8	3275.237394	21.80597717
hya	29.2	471.8298336	21.39798437
hya	35.6	9630.769697	21.21225067
hya	1.7	727.856486	21.04280043
hya	4.6	1247.67334	20.91243381
hya	14.4	1142.571365	20.84739299
hya	16.1	638.4292893	20.75834932
hya	37.8	664.7270272	20.75135991
hya	31.7	1843.190214	20.55660709
hya	7.4	3599.192351	20.52653249
hya	19.4	4296.205992	20.51983445
hya	39.9	170.1565346	20.25985112
hya	3.2	922.0075105	19.88164273
hya	3.5	1281.085569	19.6692809
hya	32	4181.472479	19.52627213
hya	2.2	5162.862052	19.50007281
hya	68.2	226.9012363	19.48451935
hya	18.7	498.7202107	19.39345011
hya	16.4	187.0718788	19.3159306
hya	17.2	2697.572527	19.16213964
hya	52.7	798.7293442	19.07920874
hya	5.6	366.3937391	19.00043818
hya	1.8	1341.398298	18.77017051
hya	32.7	1774.722122	18.3444459
hya	8.5	1734.432315	18.19451187
hya	38.5	351.0661775	18.07020044
hya	38.4	258.2121604	17.96270215
hya	0.8	332.4434203	17.92962223
hya	49	2429.715954	17.86218089
hya	30.3	537.6394601	17.82930878
hya	10.9	566.9699616	17.70279321
hya	6.6	972.1286637	17.61734825
hya	16	573.1049798	17.61637624
hya	25.8	357.3778933	17.59800522
hya	44.2	751.6763854	17.56265914
hya	57.5	2324.837395	17.2661895
hya	70.1	346.9014147	17.19541948
hya	43.2	1907.350335	17.16737745
hya	75.5	295.691407	17.00463698
hya	50	740.2719594	16.7502103
hya	20.1	2722.380844	16.66036417
hya	23.6	2630.487402	16.64948876
hya	12.4	1211.146702	16.60663425
hya	38.7	308.0938888	16.52541222
hya	9.2	391.1905057	16.42520929
hya	39	1100.211705	16.38901329
hya	3.8	1538.028929	16.37682929
hya	15.7	1446.49526	16.25390615
hya	6.1	3491.452174	16.22913103
hya	18	3793.232428	16.20402025
hya	15.8	113.2458243	16.1556502
hya	19.8	4543.688733	16.15112146
hya	13.8	5400.907625	16.14167942
hya	17	939.2693006	16.02624926
hya	4.4	1294.981532	16.0156961
hya	12.2	289.8987292	15.94730519
hya	34.8	4881.568073	15.74636414
hya	10.7	390.3937565	15.67532947
hya	5.6	2955.484572	15.55032145
hya	19.4	1432.067056	15.26178732
hya	41.1	2067.064004	15.22190658
hya	16.2	1062.825663	15.17921084
hya	11.4	121.4489773	14.99092049
hya	39.2	130.0342308	14.9560064
hya	7.8	406.1336221	14.94318474
hya	39.1	634.7024445	14.80711635
hya	22	219.4864454	14.71353386
hya	37.2	216.7396047	14.57226754
hya	71.1	297.0149808	14.43502681
hya	44.5	728.9458118	14.36961182
hya	17.3	1174.988564	14.3218236
hya	0.7	345.6485968	14.31108424
hya	28.5	145.3412232	14.26646513
hya	5.7	574.0443007	14.19621967
hya	40.1	1125.893718	14.14347283
hya	12.7	71.5559142	13.86150419
hya	39.1	1546.367855	13.85870123
hya	27.1	385.4192344	13.84739321
hya	1.8	374.0339114	13.75710943
hya	15	1052.476956	13.71956241
hya	15.2	1260.501962	13.71588033
hya	2	453.6876828	13.71134828
hya	15.7	980.2581992	13.67525255
hya	69.2	618.6991785	13.67246946
hya	15.2	357.9148016	13.61892778
hya	10.1	837.7996675	13.41354123
hya	1	344.85709	13.27285953
hya	18.5	9975.408105	13.14171658
hya	10.9	117.6652472	12.96278009
hya	12.2	65.68381819	12.76069257
hya	0.3	349.7726404	12.74540697
hya	11.4	508.0269572	12.50044664
hya	24	919.3242119	12.26423663
hya	36.2	78.36136769	12.18658415
hya	65	878.39539	12.0090918
hya	27.4	1775.590872	11.99968353
hya	0.8	418.9817848	11.95764988
hya	14.5	1802.297161	11.89439601
hya	42.5	139.7269976	11.82516936
hya	14.9	360.491135	11.74954141
hya	2.5	446.2005916	11.38969986
hya	13.3	1553.897572	11.32134203
hya	1.5	1132.173199	11.31413755
hya	21.1	1997.43809	11.25695453
hya	0.6	323.5995698	11.19041795
hya	7.9	384.5379094	11.06472921
hya	41.9	645.5715201	10.98141317
hya	44.4	1299.344146	10.82577568
hya	18.1	213.612402	10.8054919
hya	1.7	4370.995273	10.75464557
hya	13.2	208.5503098	10.75065949
hya	5.6	375.2315455	10.67473487
hya	22.8	71.49231513	10.66823422
hya	6.8	108.5408482	10.58350014
hya	0.4	322.190726	10.44177646
hya	17.8	620.4197304	10.32438865
hya	1.2	1688.586614	10.2241514
hya	50	3539.482543	10.12802386
hya	10.2	248.0017832	10.05857295
hya	39.3	235.0491467	9.862650761
hya	62.7	594.9487024	9.810460728
hya	55	538.594838	9.709361412
hya	4.9	423.1743382	9.673347634
hya	18.7	58.07632336	9.377067058
hya	19.3	338.9047287	9.357589242
hya	2	1194.405709	9.217734874
