location	site	replicate	depth_mm	drops	dens_gm3	comp_MN	tens_MN
south	back	1	10	25	2.34947626084107	9.5802592959567	0.87357997470121
south	back	1	20	40	2.58447807546393	15.3284148735307	1.39772795952194
south	back	2	10	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	20	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	30	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	40	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	50	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	60	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	70	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	80	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	90	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	100	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	110	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	120	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	130	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	140	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	150	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	160	0.606060606060606	0.489650704450721	0.232248710205011	0.0211776963563930
south	back	2	170	3.63636363636364	1.38553043906475	1.39349226123007	0.127066178138358
south	back	2	180	6.66666666666667	1.68859834084991	2.55473581225512	0.232954659920323
south	back	3	10	20	2.23790448518396	7.66420743676536	0.698863979760968
south	back	4	10	6.25	1.65632908028112	2.39506482398917	0.218394993675303
south	back	4	20	6.10294117647059	1.64442375593426	2.33871035754237	0.213256287941766
south	back	4	30	5.88235294117647	1.62601676937290	2.25417865787216	0.205548229341461
south	back	4	40	3.95220588235294	1.42717528553985	1.51452628575786	0.138102716588794
south	back	4	50	3.125	1.30975549000115	1.19753241199459	0.109197496837651
south	back	4	60	3.125	1.30975549000115	1.19753241199459	0.109197496837651
south	back	4	70	2.75297619047619	1.24637963718158	1.05496902961428	0.096197794833169
south	back	4	80	2.38095238095238	1.17378863225933	0.91240564723397	0.0831980928286867
south	back	4	90	2.38095238095238	1.17378863225933	0.91240564723397	0.0831980928286867
south	back	4	100	2.38095238095238	1.17378863225933	0.91240564723397	0.0831980928286867
south	back	4	110	2.07762557077626	1.10565119297419	0.796167667517864	0.0725988837422925
south	back	4	120	1.36986301369863	0.897393720826816	0.524945714846942	0.0478673958740389
south	back	4	130	1.36986301369863	0.897393720826816	0.524945714846942	0.0478673958740389
south	back	4	140	1.36986301369863	0.897393720826816	0.524945714846942	0.0478673958740389
south	back	4	150	1.36986301369863	0.897393720826816	0.524945714846942	0.0478673958740389
south	back	4	160	1.36986301369863	0.897393720826816	0.524945714846942	0.0478673958740389
south	back	4	170	1.36986301369863	0.897393720826816	0.524945714846942	0.0478673958740389
south	back	4	180	1.36986301369863	0.897393720826816	0.524945714846942	0.0478673958740389
south	back	5	10	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	20	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	30	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	40	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	50	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	60	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	70	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	80	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	90	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	100	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	110	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	120	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	130	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	140	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	150	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	160	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	170	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	5	180	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	10	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	20	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	30	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	40	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	50	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	60	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	70	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	80	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	90	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	100	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
south	back	6	110	0.555555555555556	0.446145015955907	0.21289465102126	0.0194128883266936
