year,duration,dist,u
1967,6,0,1.709767465
1967,18,0,2.426072961
1967,30,0,1.836877461
1967,18,0,2.426072961
1967,102,0,1.789999234
1967,72,0,2.559250443
1967,18,0,3.197443484
1967,150,0,1.815212812
1967,18,0,0.68173157
1967,24,0,1.398247668
1967,54,0,0.560670292
1967,18,0,1.670076876
1967,6,0,0.33824491
1967,66,0,1.170206846
1967,48,0,2.129468861
1967,6,0,1.311994852
1967,18,0,2.046638633
1967,24,0,1.398247668
1967,48,0,0.216006954
1967,6,0,1.709767465
1967,18,0,2.868574998
1967,78,0,2.039123339
1967,138,0,1.203651144
1967,6,0,3.056576218
1967,48,0,2.753915534
1967,24,0,2.071435788
1967,24,0,1.122354575
1967,18,0,2.046638633
1967,6,0,0.647126493
1967,18,0,1.380904001
1967,24,0,2.682379539
1967,30,0,0.697171111
1967,18,0,2.046638633
1967,6,0,1.052486542
1967,18,0,2.426072961
1967,78,0,1.177883049
1967,18,0,2.046638633
1967,6,0,0.647126493
1967,18,0,2.046638633
1967,6,0,0.647126493
1967,42,0,1.43122619
1967,30,0,2.705764076
1967,24,0,2.071435788
1967,90,0,1.474637344
1967,30,0,0.364373867
1967,48,0,1.155401571
1967,18,0,2.046638633
1967,6,0,0
1967,42,0,2.118470244
1967,48,0,1.438953481
1967,6,0,0.33824491
1967,18,0,1.108288494
1967,54,0,0.373432844
1967,18,0,1.380904001
1967,6,0,0.19669459
1967,24,0,1.690764462
1967,90,0,0.883542709
1967,6,0,1.463649937
1967,48,0,0.557973412
1967,18,0,2.046638633
1967,30,0,0.211802163
1967,18,0,1.380904001
1967,6,0,2.311630784
1967,18,0,1.670076876
1967,6,0,2.311630784
1967,42,0,1.595707535
1967,6,0,0.33824491
1967,18,0,1.380904001
1967,24,0,0.360871205
1967,72,0,1.174212679
1968,54,0,0.373432844
1968,66,0,1.170206846
1968,24,0,2.071435788
1968,6,0,0.19669459
1968,18,0,1.670076876
1968,6,0,0
1968,18,0,1.670076876
1968,30,0,0.697171111
1968,18,0,1.540013508
1968,54,0,0.217047371
1968,72,0,1.766801344
1968,96,0,2.585507987
1968,18,0,3.197443484
1968,120,0,1.800683537
1968,6,0,2.528748712
1968,24,0,0.836838526
1968,24,0,1.690764462
1968,24,0,2.454672595
1968,90,0,1.184410443
1968,6,0,0
1968,42,0,1.43122619
1968,24,0,2.071435788
1968,24,0,0.690474255
1968,30,0,1.411515119
1968,18,0,2.426072961
1968,6,0,0.647126493
1968,18,0,1.797859351
1968,6,0,0.647126493
1968,18,0,2.046638633
1968,24,0,0.836838526
1968,6,0,0
1968,18,0,0.68173157
1968,30,0,1.411515119
1968,42,0,2.508826636
1968,6,0,0
1968,18,0,1.108288494
1968,24,0,2.071435788
