kappa	t	t_1
0.05	-2.4	-2.36611306904805
0.05	-2.39	-2.35621060984519
0.05	-2.38	-2.34630596884803
0.05	-2.37	-2.33639918521918
0.05	-2.36	-2.32649029892753
0.05	-2.35	-2.31657935070777
0.05	-2.34	-2.30666638201864
0.05	-2.33	-2.29675143500015
0.05	-2.32	-2.28683455242957
0.05	-2.31	-2.27691577767646
0.05	-2.3	-2.26699515465679
0.05	-2.29	-2.25707272778605
0.05	-2.28	-2.24714854193169
0.05	-2.27	-2.23722264236469
0.05	-2.26	-2.22729507471059
0.05	-2.25	-2.21736588489986
0.05	-2.24	-2.20743511911786
0.05	-2.23	-2.19750282375438
0.05	-2.22	-2.18756904535282
0.05	-2.21	-2.17763383055922
0.05	-2.2	-2.16769722607119
0.05	-2.19	-2.15775927858672
0.05	-2.18	-2.14782003475313
0.05	-2.17	-2.13787954111623
0.05	-2.16	-2.12793784406961
0.05	-2.15	-2.11799498980446
0.05	-2.14	-2.10805102425974
0.05	-2.13	-2.09810599307296
0.05	-2.12	-2.08815994153165
0.05	-2.11	-2.0782129145255
0.05	-2.1	-2.06826495649949
0.05	-2.09	-2.05831611140788
0.05	-2.08	-2.04836642266927
0.05	-2.07	-2.03841593312286
0.05	-2.06	-2.02846468498585
0.05	-2.05	-2.01851271981226
0.05	-2.04	-2.00856007845309
0.05	-2.03	-1.99860680101802
0.05	-2.02	-1.98865292683864
0.05	-2.01	-1.97869849443339
0.05	-2	-1.96874354147415
0.05	-1.99	-1.95878810475467
0.05	-1.98	-1.94883222016085
0.05	-1.97	-1.9388759226429
0.05	-1.96	-1.92891924618951
0.05	-1.95	-1.91896222380401
0.05	-1.94	-1.90900488748258
0.05	-1.93	-1.89904726819461
0.05	-1.92	-1.88908939586516
0.05	-1.91	-1.87913129935955
0.05	-1.9	-1.8691730064702
0.05	-1.89	-1.8592145439056
0.05	-1.88	-1.84925593728154
0.05	-1.87	-1.83929721111449
0.05	-1.86	-1.82933838881727
0.05	-1.85	-1.81937949269678
0.05	-1.84	-1.80942054395409
0.05	-1.83	-1.79946156268648
0.05	-1.82	-1.78950256789179
0.05	-1.81	-1.77954357747475
0.05	-1.8	-1.76958460825537
0.05	-1.79	-1.75962567597937
0.05	-1.78	-1.74966679533057
0.05	-1.77	-1.73970797994509
0.05	-1.76	-1.72974924242746
0.05	-1.75	-1.71979059436842
0.05	-1.74	-1.70983204636449
0.05	-1.73	-1.69987360803903
0.05	-1.72	-1.6899152880649
0.05	-1.71	-1.67995709418854
0.05	-1.7	-1.66999903325535
0.05	-1.69	-1.66004111123636
0.05	-1.68	-1.65008333325603
0.05	-1.67	-1.64012570362107
0.05	-1.66	-1.63016822585025
0.05	-1.65	-1.62021090270505
0.05	-1.64	-1.61025373622097
0.05	-1.63	-1.60029672773954
0.05	-1.62	-1.59033987794087
0.05	-1.61	-1.58038318687648
0.05	-1.6	-1.57042665400263
0.05	-1.59	-1.56047027821366
0.05	-1.58	-1.55051405787556
0.05	-1.57	-1.54055799085946
0.05	-1.56	-1.53060207457502
0.05	-1.55	-1.52064630600366
0.05	-1.54	-1.51069068173141
0.05	-1.53	-1.50073519798142
0.05	-1.52	-1.49077985064594
0.05	-1.51	-1.48082463531783
0.05	-1.5	-1.47086954732124
0.05	-1.49	-1.46091458174176
0.05	-1.48	-1.45095973345564
0.05	-1.47	-1.44100499715819
0.05	-1.46	-1.43105036739129
0.05	-1.45	-1.42109583856983
0.05	-1.44	-1.41114140500722
0.05	-1.43	-1.40118706093977
0.05	-1.42	-1.39123280054997
0.05	-1.41	-1.38127861798862
0.05	-1.4	-1.37132450739581
0.05	-1.39	-1.3613704629207
0.05	-1.38	-1.35141647874005
0.05	-1.37	-1.34146254907561
0.05	-1.36	-1.33150866821023
0.05	-1.35	-1.32155483050278
0.05	-1.34	-1.31160103040182
0.05	-1.33	-1.30164726245812
0.05	-1.32	-1.29169352133596
0.05	-1.31	-1.28173980182329
0.05	-1.3	-1.27178609884068
0.05	-1.29	-1.2618324074493
0.05	-1.28	-1.25187872285764
0.05	-1.27	-1.24192504042738
0.05	-1.26	-1.23197135567807
0.05	-1.25	-1.22201766429103
0.05	-1.24	-1.21206396211216
0.05	-1.23	-1.20211024515404
0.05	-1.22	-1.19215650959706
0.05	-1.21	-1.18220275178993
0.05	-1.2	-1.17224896824931
0.05	-1.19	-1.16229515565889
0.05	-1.18	-1.15234131086778
0.05	-1.17	-1.14238743088837
0.05	-1.16	-1.13243351289364
